isin,per_isin_id,issuer_name,issuer_sector,bond_label,bond_amount,bond_currency,bond_USD_amount,total_USD_allocated,pre_icma_category,pre_category_as_reported,pre_subcategory,pre_subcategory_as_reported,pre_subcategory_description,pre_eligibility_criteria,pre_exclusions,post_icma_category,post_category_as_reported,post_subcategory,post_subcategory_as_reported,post_allocation_detail,eu_tax_category,post_allocation_value,post_allocation_currency,post_allocation_USD,post_allocation_share_of_total,pre_source_detail,post_source_detail,source_trail
XS3358268251,2,Svenska Handelsbanken,Banks,Green,1000000000,EUR,1170565311.26,1170565311.26,Clean Transportation,Clean Transportation,Public Transport,Zero emission and low carbon transport,"Public, freight, and personal mobility transportation across rail, road, and water modes that operate with zero direct tailpipe CO2 emissions",,,Clean Transportation,Clean Transportation,Public Transport,,Public transport and zero direct (tailpipe) CO2 emissions vehicles,,17864639.285852894,EUR,20911727.04,0.017865,https://source.arctal.ai/entities/svenska-handelsbanken-ab/green-bond-framework__2025__handelsbanken-updated-august-defining-terms-processes__2025-08-XX__e47a50ca2590.pdf#page=8,https://source.arctal.ai/entities/svenska-handelsbanken-ab/alloc-report__2024__unk-slug__unk-pub-date__8f99040de0d4.pdf#page=12,"Allocation: 99,272,157.00 EUR (denom=portfolio, entry=category) | BondShare: bond_amount 1,000,000,000 EUR / eligible_assets_total 5,557,000,000 EUR = bond_share 0.180000 | Scaled: 99,272,157.00 × bond_share 0.180000 = 17,868,988.26 | FX: EUR→USD ×1.170565 @2026-04-22 = 20,916,818 USD | Pct: 1.8% | Capped: USD sum 1,170,850,274 > bond_USD_amount 1,170,565,311 (from DB), ×0.9998

Extraction notes:
Extracted 8 category rows from Green Bonds allocation table as requested
Climate change adaptation category shows no disbursements (all values are '-')
Total disbursed amount: 3,250,000,000 EUR
Total GHG emissions avoided: 164,313 tCO2e
Renewable Energy split into two rows: Wind Energy (49.3M EUR) and Solar/Hydro/Geothermal (9.8M EUR)
Clean transportation includes both public transport (43.3M EUR) and zero emissions vehicles (55.9M EUR)
Pollution prevention and control includes waste to energy (36.5M EUR) and waste management (35.8M EUR)
Some GHG values are expected/estimated as noted in footnotes"
XS3358268251,3,Svenska Handelsbanken,Banks,Green,1000000000,EUR,1170565311.26,1170565311.26,Clean Transportation,Clean Transportation,Public Transport,Infrastructure supporting fossil free and low carbon transportation,"Construction, modernisation, operation and maintenance of infrastructure enabling low carbon rail, road, and water transport",,,,,,,,,,,,,https://source.arctal.ai/entities/svenska-handelsbanken-ab/green-bond-framework__2025__handelsbanken-updated-august-defining-terms-processes__2025-08-XX__e47a50ca2590.pdf#page=8,,
XS3358268251,4,Svenska Handelsbanken,Banks,Green,1000000000,EUR,1170565311.26,1170565311.26,Climate Change Adaptation,Climate Change Adaptation,Resilient Infrastructure,Climate resilience infrastructure and operations,"Strengthening buildings, transport systems, agriculture, industrial practices, and utilities to withstand heat stress, heavy rainfall, and high winds",,,,,,,,,,,,,https://source.arctal.ai/entities/svenska-handelsbanken-ab/green-bond-framework__2025__handelsbanken-updated-august-defining-terms-processes__2025-08-XX__e47a50ca2590.pdf#page=9,,
XS3358268251,5,Svenska Handelsbanken,Banks,Green,1000000000,EUR,1170565311.26,1170565311.26,Climate Change Adaptation,Climate Change Adaptation,Resilient Infrastructure,Software and hardware for climate risk management,Enabling physical climate risk management and adaption,,,,,,,,,,,,,https://source.arctal.ai/entities/svenska-handelsbanken-ab/green-bond-framework__2025__handelsbanken-updated-august-defining-terms-processes__2025-08-XX__e47a50ca2590.pdf#page=9,,
XS3358268251,6,Svenska Handelsbanken,Banks,Green,1000000000,EUR,1170565311.26,1170565311.26,Energy Efficiency,Energy Efficiency,Building Energy Efficiency,Buildings,"Energy efficiency in buildings, including installation, replacement, maintenance and repair of energy efficient equipment such as lighting sources, HVAC (heat, ventilation and air conditioning), windows, doors, and energy performance monitoring and control systems",Key eligibility criterion: Projects must lead to reduced energy consumption of at least 35% compared to previous generation.,,,,,,,,,,,,https://source.arctal.ai/entities/svenska-handelsbanken-ab/green-bond-framework__2025__handelsbanken-updated-august-defining-terms-processes__2025-08-XX__e47a50ca2590.pdf#page=10,,
XS3358268251,7,Svenska Handelsbanken,Banks,Green,1000000000,EUR,1170565311.26,1170565311.26,Energy Efficiency,Energy Efficiency,District Heating,District Heating And Cooling,District heating/cooling distribution,Key eligibility criterion: Projects must lead to reduced energy consumption of at least 35% compared to previous generation.,,,,,,,,,,,,https://source.arctal.ai/entities/svenska-handelsbanken-ab/green-bond-framework__2025__handelsbanken-updated-august-defining-terms-processes__2025-08-XX__e47a50ca2590.pdf#page=10,,
XS3358268251,8,Svenska Handelsbanken,Banks,Green,1000000000,EUR,1170565311.26,1170565311.26,Energy Efficiency,Energy Efficiency,Energy Storage,Storage Solutions,"Energy storage solutions, including electricity, batteries, pumped hydropower, hydrogen, thermal energy",Key eligibility criterion: Projects must lead to reduced energy consumption of at least 35% compared to previous generation.,,,,,,,,,,,,https://source.arctal.ai/entities/svenska-handelsbanken-ab/green-bond-framework__2025__handelsbanken-updated-august-defining-terms-processes__2025-08-XX__e47a50ca2590.pdf#page=10,,
XS3358268251,9,Svenska Handelsbanken,Banks,Green,1000000000,EUR,1170565311.26,1170565311.26,Energy Efficiency,Energy Efficiency,Heat Pumps,Technologies And Processes,"Development and production of energy efficiency technologies and processes, such as energy efficient electric heat pumps, ventilation systems and household appliances",Key eligibility criterion: Projects must lead to reduced energy consumption of at least 35% compared to previous generation.,,,,,,,,,,,,https://source.arctal.ai/entities/svenska-handelsbanken-ab/green-bond-framework__2025__handelsbanken-updated-august-defining-terms-processes__2025-08-XX__e47a50ca2590.pdf#page=10,,
XS3358268251,10,Svenska Handelsbanken,Banks,Green,1000000000,EUR,1170565311.26,1170565311.26,,,,,,,,Energy Efficiency,Energy Efficiency,,,Energy efficiency projects,,9431197.885829408,EUR,11039833.09,0.009431,,https://source.arctal.ai/entities/svenska-handelsbanken-ab/alloc-report__2024__unk-slug__unk-pub-date__8f99040de0d4.pdf#page=12,"Allocation: 52,408,299.00 EUR (denom=portfolio, entry=category) | BondShare: bond_amount 1,000,000,000 EUR / eligible_assets_total 5,557,000,000 EUR = bond_share 0.180000 | Scaled: 52,408,299.00 × bond_share 0.180000 = 9,433,493.82 | FX: EUR→USD ×1.170565 @2026-04-22 = 11,042,521 USD | Pct: 0.9% | Capped: USD sum 1,170,850,274 > bond_USD_amount 1,170,565,311 (from DB), ×0.9998

Extraction notes:
Extracted 8 category rows from Green Bonds allocation table as requested
Climate change adaptation category shows no disbursements (all values are '-')
Total disbursed amount: 3,250,000,000 EUR
Total GHG emissions avoided: 164,313 tCO2e
Renewable Energy split into two rows: Wind Energy (49.3M EUR) and Solar/Hydro/Geothermal (9.8M EUR)
Clean transportation includes both public transport (43.3M EUR) and zero emissions vehicles (55.9M EUR)
Pollution prevention and control includes waste to energy (36.5M EUR) and waste management (35.8M EUR)
Some GHG values are expected/estimated as noted in footnotes
All KPIs successfully mapped to existing entries. Energy efficiency shows 'Annual energy transmitted' of 124,832 MWh but this doesn't match any valid KPI (not energy_savings which is listed separately as 53,044 MWh). Green buildings shows energy savings of 53,044 MWh which matches the total. Water treated value is annual (1,519,353 m³). Certified Forest area (186,562 Ha) mapped to biodiversity_area under Environmentally sustainable management category. Renewable energy generation values mapped to respective wind and solar/hydro/geothermal subcategories. Waste to energy generation (364,079 MWh) mapped to Pollution prevention and control category.

Additional sources: https://source.arctal.ai/entities/svenska-handelsbanken-ab/alloc-report__2024__unk-slug__unk-pub-date__8f99040de0d4.pdf#page=13"
XS3358268251,11,Svenska Handelsbanken,Banks,Green,1000000000,EUR,1170565311.26,1170565311.26,Energy Efficiency,Energy Efficiency,Smart Grids,Smart Grid Technology,Smart grid technology that enhance energy efficiency and grid stability,Key eligibility criterion: Projects must lead to reduced energy consumption of at least 35% compared to previous generation.,,,,,,,,,,,,https://source.arctal.ai/entities/svenska-handelsbanken-ab/green-bond-framework__2025__handelsbanken-updated-august-defining-terms-processes__2025-08-XX__e47a50ca2590.pdf#page=10,,
XS3358268251,12,Svenska Handelsbanken,Banks,Green,1000000000,EUR,1170565311.26,1170565311.26,Energy Efficiency,Energy Efficiency,Smart Grids,Network Modernization,"Modernisations and upgrades of existing 4G, 5G and 6G networks as well as supporting technologies",Key eligibility criterion: Projects must lead to reduced energy consumption of at least 35% compared to previous generation.,,,,,,,,,,,,https://source.arctal.ai/entities/svenska-handelsbanken-ab/green-bond-framework__2025__handelsbanken-updated-august-defining-terms-processes__2025-08-XX__e47a50ca2590.pdf#page=10,,
XS3358268251,13,Svenska Handelsbanken,Banks,Green,1000000000,EUR,1170565311.26,1170565311.26,Environmentally Sustainable Management of Living Natural Resources & Land Use,Climate Change Adaptation,Land Restoration,Sustainable land use,"Implanting soil stabilization, reforestation, and erosion control to prevent landslides and land degradation",,,,,,,,,,,,,https://source.arctal.ai/entities/svenska-handelsbanken-ab/green-bond-framework__2025__handelsbanken-updated-august-defining-terms-processes__2025-08-XX__e47a50ca2590.pdf#page=9,,
XS3358268251,14,Svenska Handelsbanken,Banks,Green,1000000000,EUR,1170565311.26,1170565311.26,Environmentally Sustainable Management of Living Natural Resources & Land Use,Environmentally Sustainable Management of Living Natural Resources & Land Use,Sustainable Forestry,Sustainable forestry,Sustainable forest management and sustainable forestry assets - Forest land certified in accordance with the Forest Stewardship Council (FSC) standard and/or the Programme for the Endorsement of Forest Certification (PEFC),,,Environmentally Sustainable Management of Living Natural Resources & Land Use,Environmentally Sustainable Management of Living Natural Resources & Land Use,Sustainable Forestry,,Sustainable forestry and biodiversity,,22875655.12237386,EUR,26777448.36,0.022876,https://source.arctal.ai/entities/svenska-handelsbanken-ab/green-bond-framework__2025__handelsbanken-updated-august-defining-terms-processes__2025-08-XX__e47a50ca2590.pdf#page=7,https://source.arctal.ai/entities/svenska-handelsbanken-ab/alloc-report__2024__unk-slug__unk-pub-date__8f99040de0d4.pdf#page=12,"Allocation: 127,117,911.00 EUR (denom=portfolio, entry=category) | BondShare: bond_amount 1,000,000,000 EUR / eligible_assets_total 5,557,000,000 EUR = bond_share 0.180000 | Scaled: 127,117,911.00 × bond_share 0.180000 = 22,881,223.98 | FX: EUR→USD ×1.170565 @2026-04-22 = 26,783,967 USD | Pct: 2.3% | Capped: USD sum 1,170,850,274 > bond_USD_amount 1,170,565,311 (from DB), ×0.9998

Extraction notes:
Extracted 8 category rows from Green Bonds allocation table as requested
Climate change adaptation category shows no disbursements (all values are '-')
Total disbursed amount: 3,250,000,000 EUR
Total GHG emissions avoided: 164,313 tCO2e
Renewable Energy split into two rows: Wind Energy (49.3M EUR) and Solar/Hydro/Geothermal (9.8M EUR)
Clean transportation includes both public transport (43.3M EUR) and zero emissions vehicles (55.9M EUR)
Pollution prevention and control includes waste to energy (36.5M EUR) and waste management (35.8M EUR)
Some GHG values are expected/estimated as noted in footnotes
All KPIs successfully mapped to existing entries. Energy efficiency shows 'Annual energy transmitted' of 124,832 MWh but this doesn't match any valid KPI (not energy_savings which is listed separately as 53,044 MWh). Green buildings shows energy savings of 53,044 MWh which matches the total. Water treated value is annual (1,519,353 m³). Certified Forest area (186,562 Ha) mapped to biodiversity_area under Environmentally sustainable management category. Renewable energy generation values mapped to respective wind and solar/hydro/geothermal subcategories. Waste to energy generation (364,079 MWh) mapped to Pollution prevention and control category.

Additional sources: https://source.arctal.ai/entities/svenska-handelsbanken-ab/alloc-report__2024__unk-slug__unk-pub-date__8f99040de0d4.pdf#page=13"
XS3358268251,15,Svenska Handelsbanken,Banks,Green,1000000000,EUR,1170565311.26,1170565311.26,Green Buildings,Green Buildings,Existing Buildings/Renovation,Existing buildings,"Buildings built before the 31st of December, 2020, with Energy Performance Certificate (EPC) demonstrating class A, or within the top 15% of the national or regional building stock expressed as Primary Energy Demand (PED)","Certification schemes mentioned: BREEAM Excellent, LEED Gold, Svanen, Miljöbyggnad Silver; PED thresholds: New buildings 10% below NZEB, Existing buildings top 15%, Renovation 30% reduction",,,,,,,,,,,,https://source.arctal.ai/entities/svenska-handelsbanken-ab/green-bond-framework__2025__handelsbanken-updated-august-defining-terms-processes__2025-08-XX__e47a50ca2590.pdf#page=6,,
XS3358268251,16,Svenska Handelsbanken,Banks,Green,1000000000,EUR,1170565311.26,1170565311.26,Green Buildings,Green Buildings,Existing Buildings/Renovation,Renovation of existing buildings,"Renovation of an existing building that either leads to a reduction of Primary Energy Demand (PED) of at least 30%, or where the building meets the applicable requirements for 'major renovation'","Certification schemes mentioned: BREEAM Excellent, LEED Gold, Svanen, Miljöbyggnad Silver; PED thresholds: New buildings 10% below NZEB, Existing buildings top 15%, Renovation 30% reduction",,,,,,,,,,,,https://source.arctal.ai/entities/svenska-handelsbanken-ab/green-bond-framework__2025__handelsbanken-updated-august-defining-terms-processes__2025-08-XX__e47a50ca2590.pdf#page=6,,
XS3358268251,17,Svenska Handelsbanken,Banks,Green,1000000000,EUR,1170565311.26,1170565311.26,Green Buildings,Green Buildings,New Buildings,New buildings,"Buildings built after the 31st of December, 2020, meeting PED at least 10% lower than NZEB threshold or obtaining environmental certification (BREEAM Excellent, LEED Gold, Svanen, Miljöbyggnad Silver)","Certification schemes mentioned: BREEAM Excellent, LEED Gold, Svanen, Miljöbyggnad Silver; PED thresholds: New buildings 10% below NZEB, Existing buildings top 15%, Renovation 30% reduction",,,,,,,,,,,,https://source.arctal.ai/entities/svenska-handelsbanken-ab/green-bond-framework__2025__handelsbanken-updated-august-defining-terms-processes__2025-08-XX__e47a50ca2590.pdf#page=6,,
XS3358268251,18,Svenska Handelsbanken,Banks,Green,1000000000,EUR,1170565311.26,1170565311.26,,,,,,,,Green Buildings,Green Buildings,,,Green building projects,,503277459.6960577,EUR,589119136.26,0.503277,,https://source.arctal.ai/entities/svenska-handelsbanken-ab/alloc-report__2024__unk-slug__unk-pub-date__8f99040de0d4.pdf#page=12,"Allocation: 2,796,666,543.00 EUR (denom=portfolio, entry=category) | BondShare: bond_amount 1,000,000,000 EUR / eligible_assets_total 5,557,000,000 EUR = bond_share 0.180000 | Scaled: 2,796,666,543.00 × bond_share 0.180000 = 503,399,977.74 | FX: EUR→USD ×1.170565 @2026-04-22 = 589,262,552 USD | Pct: 50.3% | Capped: USD sum 1,170,850,274 > bond_USD_amount 1,170,565,311 (from DB), ×0.9998

Extraction notes:
Extracted 8 category rows from Green Bonds allocation table as requested
Climate change adaptation category shows no disbursements (all values are '-')
Total disbursed amount: 3,250,000,000 EUR
Total GHG emissions avoided: 164,313 tCO2e
Renewable Energy split into two rows: Wind Energy (49.3M EUR) and Solar/Hydro/Geothermal (9.8M EUR)
Clean transportation includes both public transport (43.3M EUR) and zero emissions vehicles (55.9M EUR)
Pollution prevention and control includes waste to energy (36.5M EUR) and waste management (35.8M EUR)
Some GHG values are expected/estimated as noted in footnotes
This is a Green Covered Bonds allocation table showing category-level data for Green Buildings only
Reporting year 2024 inferred from document title 'Green Bond Impact Report 2024'
Table also shows SEK amount (26,477,472,000) but EUR amount used for allocation as per guidance
All three requested KPIs extracted: ghg_avoided, energy_savings, green_building_area"
